USDAInspectionNumber,StoredCropID,PlantedCropID,StorageBinID,isEstimated,PercentOfHarvestedYield,PercentBruiseFree,PercentSixOz,PercentSoftRot,PercentTenOz,PercentUndersize,PercentUnusable,PercentUSDA1,SpecificGravity,PercentHollow,PercentInternalDiscolored,PercentMechanicalDamaged,PercentPinkEye,PercentPitScab
4724002,040A4244-82BE-41EA-97BF-469C9B399CE9,0EAAAE3F-6599-4A24-B150-174D53E19F94,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.150950839,0.775,0.666,0.027,0.304,0.007,0.19,0.639,1.0836,0.129,0,0,0.007,0.001
4729,73EAAB84-A0AD-438A-AD2B-CEDDCA3844C7,85EC3A53-C0C1-4DBE-A670-8B85DDAEEC29,F45EF324-714D-4015-B88D-A46D537D515E,0,0.148940423,0.751,0.693,0.031,0.286,0.007,0.087,0.83,1.0787,0.023,0.004,0.007,0.014,0
4730,B8CC6AEF-439A-4F45-A374-927740911391,08EA119D-8F2A-49F6-9918-9C6486D2E220,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.077578215,0.829,0.606,0.013,0.18,0.018,0.05,0.795,1.0761,0,0,0,0.003,0.02
4731,A44044FE-03C6-4BF0-BBEB-A9F57FE16315,ECF0EC35-65AB-4682-94C0-A9C21DB6B66C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.450448651,0.85,0.359,0.047,0.144,0.017,0.48,0.394,1.0783,0.371,0.007,0,0.032,0.001
4732,2647989F-D8C0-440C-8F1A-5184D94DEE2A,82CDDB6E-48A3-4B70-ABCC-2F38A4924D94,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.227237979,0.732,0.498,0.059,0.234,0.008,0.341,0.562,1.0833,0.263,0,0,0.011,0
4733,EC885722-7474-44A2-8AC0-C538CA7CB3C4,4E3D8861-FC24-4A91-B2CE-4ED027DB132D,051997C9-EA95-417D-BABB-B1A5F6F687FA,0,0.315065477,0.73,0.678,0.032,0.245,0.009,0.068,0.839,1.0787,0.018,0,0.003,0.007,0
4734,92312BBF-8283-4BFB-B87A-36D338C8144D,A61EF0D6-AB5A-4512-838F-54D7CADF069C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,0,0.298243392,0.78,0.636,0.034,0.32,0.018,0.119,0.765,1.0863,0.061,0,0.004,0.008,0
4735,9A8E8308-CF84-435A-B7B9-4249804BE0F0,9D0EB918-85DE-45A8-9141-60D12D817A01,4AA523AA-163E-460A-BA6B-20C2D25E057D,0,0.55666613,0.724,0.574,0.014,0.188,0.025,0.051,0.84,1.0879,0.011,0,0.001,0.002,0
4737001,A9E54D5D-C70B-4E29-9F94-BF187F295C8B,DF5AC926-F69B-4FBD-9DC9-2E97CE300BEF,389FF257-5923-4C11-9BFE-8BB015AD414F,1,0.219302733,0.751,0.634,0.043,0.329,0.023,0.151,0.641,1.081,0.068,0,0.026,0.006,0
4746001,A44044FE-03C6-4BF0-BBEB-A9F57FE16315,ECF0EC35-65AB-4682-94C0-A9C21DB6B66C,3C27C1E1-AF68-4DC7-87E1-06FCE480A4F1,1,0.017619884,0.726,0.362,0.084,0.143,0.011,0.498,0.383,1.076,0.349,0.001,0.003,0.035,0.004
